student_id,questions,answers,comments
ST101,3,7,7
ST102,2,5,8
ST103,3,11,10
ST104,2,2,6
ST105,5,5,16
ST106,1,3,2
ST107,2,11,6
ST108,4,2,3
ST109,1,5,9
ST110,1,5,9
ST111,5,3,17
ST112,1,1,2
ST113,2,4,9
ST114,4,4,7
ST115,1,3,2
ST116,6,10,8
ST117,2,3,6
ST118,4,6,11
ST119,4,2,7
ST120,4,5,5
ST121,2,2,6
ST122,4,7,11
ST123,4,2,4
ST124,2,6,11
ST125,2,6,6
ST126,3,2,10
ST127,2,11,5
ST128,4,6,3
ST129,3,3,11
ST130,3,6,6
ST131,1,1,1
ST132,0,5,9
ST133,2,2,7
ST134,0,2,1
ST135,2,1,2
ST136,2,1,6
ST137,2,5,4
ST138,8,7,12
ST139,2,5,6
ST140,2,0,1
ST141,0,1,1
ST142,3,5,7
ST143,11,6,8
ST144,1,1,4
ST145,1,2,7
ST146,3,3,13
ST147,4,2,5
ST148,3,5,10
ST149,5,6,9
ST150,1,0,0
ST151,5,6,9
ST152,2,11,7
ST153,1,5,3
ST154,2,4,6
ST155,6,6,7
ST156,1,2,1
ST157,3,4,3
ST158,3,6,8
ST159,4,8,8
ST160,2,6,8
ST161,1,5,3
ST162,5,7,13
ST163,3,3,4
ST164,7,5,8
ST165,4,3,4
ST166,6,6,8
ST167,0,2,3
ST168,0,5,1
ST169,5,10,18
ST170,1,7,11
ST171,3,8,16
ST172,2,4,16
ST173,1,2,2
ST174,4,6,7
ST175,4,6,12
ST176,1,5,6
ST177,4,5,8
ST178,3,2,6
ST179,6,7,19
ST180,5,10,13
ST181,3,10,11
ST182,1,0,1
ST183,2,1,9
ST184,6,5,7
ST185,1,3,5
ST186,4,6,12
ST187,2,2,3
ST188,5,2,13
ST189,2,8,8
ST190,2,3,8
ST191,2,4,11
ST192,3,5,7
ST193,5,3,8
ST194,2,5,10
ST195,0,1,2
ST196,5,4,5
ST197,6,6,7
ST198,3,8,6
ST199,4,9,5
ST200,5,3,12
ST201,1,5,6
ST202,2,1,7
ST203,1,4,6
ST204,0,8,11
ST205,2,7,15
ST206,2,4,7
ST207,2,2,8
ST208,4,10,7
ST209,3,3,10
ST210,1,7,19
ST211,5,2,10
ST212,0,1,2
ST213,1,3,3
ST214,1,3,2
ST215,1,0,1
ST216,5,6,16
ST217,4,6,17
ST218,2,4,8
ST219,1,4,13
ST220,3,7,7
ST221,6,3,9
ST222,1,4,5
ST223,2,0,3
ST224,4,8,10
ST225,0,3,10
ST226,3,1,3
ST227,3,2,6
ST228,5,5,9
ST229,7,10,11
ST230,2,5,6
ST231,1,5,6
ST232,5,8,13
ST233,0,1,3
ST234,2,1,1
ST235,4,3,13
ST236,1,7,11
ST237,5,7,7
ST238,5,7,12
ST239,1,6,12
ST240,2,6,4
ST241,1,3,8
ST242,2,1,5
ST243,0,0,0
ST244,2,8,8
ST245,3,7,9
ST246,3,3,2
ST247,1,1,3
ST248,1,5,7
ST249,4,5,8
ST250,1,4,10
