login_id,student_id,login_date,login_time,device,session_duration
1,ST101,2026-01-28,02:05 PM,Laptop,43
2,ST101,2026-02-16,09:38 PM,Laptop,28
3,ST101,2026-05-03,07:35 PM,Desktop,39
4,ST101,2026-05-07,10:19 AM,Desktop,45
5,ST101,2025-11-21,11:23 AM,Laptop,21
6,ST101,2025-11-21,03:57 PM,Laptop,43
7,ST101,2026-03-12,06:50 PM,Laptop,31
8,ST101,2025-08-15,01:17 AM,Laptop,44
9,ST101,2026-01-20,05:11 PM,Desktop,30
10,ST101,2026-02-24,10:45 PM,Desktop,20
11,ST101,2025-10-24,11:53 PM,Laptop,22
12,ST101,2025-10-05,10:46 PM,Desktop,38
13,ST101,2026-05-01,10:51 PM,Mobile,41
14,ST101,2026-02-18,05:56 PM,Desktop,29
15,ST101,2026-05-16,09:36 AM,Desktop,44
16,ST101,2025-08-14,03:06 PM,Mobile,21
17,ST101,2026-03-08,04:46 AM,Mobile,37
18,ST101,2026-03-25,05:15 AM,Mobile,26
19,ST101,2025-08-26,06:23 AM,Laptop,31
20,ST101,2026-02-11,02:42 PM,Laptop,38
21,ST101,2025-11-17,02:50 AM,Laptop,29
22,ST101,2026-01-15,05:38 PM,Laptop,34
23,ST101,2026-02-11,08:13 AM,Laptop,48
24,ST101,2026-03-04,12:58 PM,Laptop,32
25,ST101,2025-09-11,07:33 PM,Laptop,46
26,ST101,2025-08-10,03:24 AM,Desktop,27
27,ST101,2026-05-04,09:02 PM,Mobile,43
28,ST101,2026-01-27,08:12 AM,Mobile,52
29,ST101,2025-09-05,08:25 AM,Desktop,13
30,ST101,2025-08-21,02:30 PM,Mobile,30
31,ST101,2025-12-05,01:18 AM,Mobile,44
32,ST101,2025-08-11,08:57 PM,Desktop,36
33,ST101,2025-10-18,11:31 AM,Mobile,42
34,ST102,2025-10-04,06:00 AM,Laptop,28
35,ST102,2025-09-28,02:49 AM,Desktop,35
36,ST102,2025-11-20,01:06 AM,Laptop,33
37,ST102,2025-12-10,08:59 AM,Laptop,46
38,ST102,2025-10-25,08:24 AM,Desktop,37
39,ST102,2025-09-28,01:25 PM,Mobile,38
40,ST102,2026-01-07,04:32 PM,Mobile,30
41,ST102,2026-05-24,11:34 AM,Mobile,30
42,ST102,2026-01-07,07:21 AM,Desktop,30
43,ST102,2026-02-09,03:28 AM,Laptop,38
44,ST102,2025-11-10,06:50 PM,Mobile,30
45,ST102,2026-05-31,05:14 PM,Desktop,37
46,ST102,2025-12-03,11:33 AM,Mobile,55
47,ST102,2026-01-02,04:33 PM,Desktop,43
48,ST102,2025-10-01,10:53 PM,Desktop,31
49,ST102,2025-08-22,02:28 AM,Laptop,47
50,ST102,2026-04-30,10:50 AM,Laptop,30
51,ST102,2026-02-06,11:26 PM,Mobile,14
52,ST102,2026-04-17,12:57 PM,Desktop,24
53,ST102,2026-01-22,01:47 PM,Mobile,16
54,ST102,2026-03-04,03:14 PM,Laptop,31
55,ST102,2025-09-24,07:11 PM,Laptop,35
56,ST102,2026-02-02,11:08 PM,Desktop,51
57,ST102,2026-03-24,02:17 AM,Desktop,38
58,ST102,2025-10-18,02:55 PM,Laptop,32
59,ST102,2025-10-30,01:05 AM,Desktop,43
60,ST102,2026-04-25,04:07 PM,Desktop,12
61,ST102,2025-12-17,09:45 PM,Desktop,37
62,ST102,2026-05-03,09:06 PM,Laptop,42
63,ST102,2026-03-27,01:03 AM,Laptop,20
64,ST102,2026-05-31,03:35 PM,Laptop,46
65,ST102,2026-01-13,09:47 AM,Mobile,38
66,ST103,2025-09-14,08:45 PM,Laptop,34
67,ST103,2026-03-19,01:30 AM,Mobile,40
68,ST103,2026-03-26,09:08 PM,Desktop,41
69,ST103,2026-02-11,07:28 AM,Laptop,33
70,ST103,2025-08-15,06:44 PM,Laptop,30
71,ST103,2026-01-14,04:26 PM,Mobile,46
72,ST103,2026-04-07,11:44 AM,Mobile,29
73,ST103,2026-01-29,10:04 PM,Laptop,39
74,ST103,2026-01-22,03:09 PM,Laptop,33
75,ST103,2025-12-20,04:00 AM,Desktop,43
76,ST103,2025-08-06,05:47 PM,Desktop,41
77,ST103,2025-11-06,03:20 PM,Mobile,48
78,ST103,2025-12-02,03:45 AM,Desktop,33
79,ST103,2026-02-25,01:24 PM,Laptop,35
80,ST103,2026-05-12,05:09 AM,Mobile,28
81,ST103,2026-04-01,08:19 PM,Desktop,34
82,ST103,2026-04-09,09:39 PM,Laptop,42
83,ST103,2025-08-09,05:32 PM,Mobile,46
84,ST103,2025-12-29,08:50 PM,Mobile,29
85,ST103,2026-02-24,11:11 AM,Desktop,47
86,ST103,2025-12-03,04:43 AM,Laptop,52
87,ST103,2026-05-25,08:49 AM,Laptop,42
88,ST103,2026-03-31,07:04 PM,Desktop,57
89,ST103,2026-04-29,12:55 PM,Laptop,30
90,ST103,2026-03-06,01:45 PM,Desktop,26
91,ST103,2026-05-09,09:11 PM,Laptop,20
92,ST103,2026-01-28,10:22 PM,Desktop,53
93,ST103,2026-03-21,02:52 PM,Laptop,45
94,ST103,2026-01-04,11:49 PM,Laptop,38
95,ST103,2025-11-27,02:12 AM,Mobile,41
96,ST104,2025-11-07,07:18 AM,Laptop,18
97,ST104,2025-10-01,08:21 PM,Desktop,30
98,ST104,2026-05-02,12:59 PM,Desktop,36
99,ST104,2025-11-03,09:49 AM,Mobile,34
100,ST104,2025-11-19,07:58 PM,Desktop,31
101,ST104,2026-04-05,09:36 PM,Laptop,21
102,ST104,2026-05-29,12:02 PM,Desktop,34
103,ST104,2025-12-23,06:53 AM,Mobile,48
104,ST104,2025-11-08,04:32 PM,Laptop,42
105,ST104,2025-11-25,06:54 PM,Laptop,45
106,ST104,2025-10-31,06:15 AM,Laptop,24
107,ST104,2025-08-08,12:11 AM,Desktop,19
108,ST104,2026-05-01,07:58 PM,Mobile,28
109,ST104,2025-12-19,05:59 PM,Mobile,29
110,ST105,2025-08-28,12:30 AM,Desktop,58
111,ST105,2025-12-28,12:00 AM,Desktop,45
112,ST105,2025-10-04,06:50 AM,Desktop,42
113,ST105,2026-04-09,08:11 AM,Mobile,36
114,ST105,2025-08-07,04:42 AM,Desktop,30
